Train_No,Route_Number,Start_Station,End_Station,Total_Distance,Number_of_Stops,Total_Duration_Minutes
107,1,SWV,MAO,78,4,105.0
108,1,MAO,SWV,83,4,115.0
128,1,MAO,KOP,978,22,1325.0
290,1,DSJ,DSJ,2694,14,9120.0
401,1,AWB,BSB,1618,12,2190.0
421,1,LKO,SVDK,1276,5,1980.0
422,1,SVDK,LKO,1277,5,1605.0
477,1,SSA,SSA,2616,14,3070.0
502,1,RJPB,UMB,1206,9,1380.0
504,1,PNBE,BTI,1313,3,1500.0
506,1,PNBE,PTA,1161,3,1530.0
557,1,URK,PJP,1301,2,690.0
604,1,PNBE,ASR,1429,3,1650.0
1011,1,CSMT,NGP,841,18,840.0
1037,1,LTT,SWV,513,10,560.0
1038,1,SWV,LTT,503,10,615.0
1045,1,LTT,KRMI,563,11,590.0
1119,1,AJNI,KRMI,1329,24,1480.0
1120,1,KRMI,AJNI,1319,24,1470.0
1122,1,KRMI,CSMT,569,14,720.0
1196,1,NGP,KRMI,1332,26,1540.0
1301,1,PUNE,MAJN,976,17,1060.0
1302,1,MAJN,PUNE,973,17,1285.0
1442,1,DSJ,KK,1581,13,2340.0
1655,1,PUNE,JBP,1050,13,1170.0
1656,1,JBP,PUNE,1050,13,1115.0
1705,1,BDTS,JBP,1261,14,1285.0
1706,1,JBP,BDTS,1262,14,1255.0
1707,1,JBP,ATT,1360,17,1590.0
1708,1,ATT,JBP,1362,17,1595.0
2025,1,CSMT,KRMI,579,7,500.0
2026,1,KRMI,CSMT,569,7,510.0
2191,1,JBP,SRC,1123,16,1190.0
2192,1,SRC,JBP,1123,16,1150.0
2195,1,REWA,BPL,551,10,580.0
2196,1,BPL,REWA,549,10,600.0
2515,1,TVC,SCL,3939,58,4615.0
2651,1,PLNI,POY,62,3,85.0
2652,1,POY,PLNI,62,3,85.0
2731,1,HYB,JP,1854,29,2280.0
2732,1,JP,HYB,1853,29,2125.0
2821,1,PUNE,SRC,2066,14,1905.0
2822,1,SRC,PUNE,2073,14,1935.0
2833,1,RJT,SRC,2332,29,2535.0
2834,1,SRC,RJT,2351,29,2440.0
2841,1,SRC,MAS,1656,12,1600.0
2842,1,MAS,SRC,1656,12,1750.0
2845,1,PUNE,HTE,1770,17,1895.0
2846,1,HTE,PUNE,1791,17,1785.0
3101,1,KOAA,PURI,523,9,715.0
3102,1,PURI,KOAA,522,9,700.0
3301,1,ASN,DHN,58,13,85.0
3302,1,DHN,ASN,58,13,85.0
3305,1,DHN,KDS,3,2,20.0
3306,1,KDS,DHN,3,2,20.0
3307,1,SZE,PLJE,4,4,35.0
3308,1,PLJE,SZE,4,4,30.0
3501,1,JSME,ANVT,1193,5,1180.0
3502,1,ANVT,JSME,1193,5,1300.0
4401,1,ANVT,SVDK,710,13,880.0
4402,1,SVDK,ANVT,710,13,855.0
4409,1,DLI,SVDK,653,7,860.0
4410,1,SVDK,DLI,653,7,825.0
4419,1,MAO,NZM,1916,13,1815.0
4420,1,NZM,MAO,1924,13,1685.0
4735,1,BKN,HW,691,17,880.0
4736,1,HW,BKN,691,17,815.0
4767,1,HMH,SGNR,67,10,100.0
4768,1,SGNR,HMH,67,10,110.0
4769,1,HMH,SGNR,67,10,105.0
4770,1,SGNR,HMH,67,10,95.0
4771,1,SDLP,SGNR,232,24,370.0
4772,1,SGNR,SDLP,232,24,375.0
4773,1,SGNR,SOG,125,16,185.0
4774,1,SOG,SGNR,125,10,155.0
4801,1,PBC,MKN,21,3,60.0
4802,1,MKN,PBC,21,3,60.0
4831,1,JU,HW,882,22,1275.0
4832,1,HW,JU,881,22,1140.0
4851,1,MTD,RTGH,197,21,280.0
4852,1,RTGH,MTD,197,21,305.0
4853,1,RTGH,CUR,42,6,75.0
4854,1,CUR,RTGH,42,6,60.0
4921,1,SRE,UMB,81,13,105.0
4922,1,UMB,SRE,81,13,115.0
4991,1,PTK,JAT,99,14,150.0
4992,1,JAT,PTK,99,14,140.0
5061,1,GKP,BNY,112,5,185.0
5062,1,BNY,GKP,112,5,165.0
5065,1,CPR,LJN,503,15,765.0
5066,1,LJN,CPR,505,15,720.0
5105,1,GKP,BST,64,4,110.0
5106,1,BST,GKP,64,4,90.0
5305,1,CPA,FBD,136,11,210.0
5306,1,FBD,CPA,136,11,175.0
5309,1,BC,LKU,81,6,110.0
5310,1,LKU,BC,81,6,115.0
5521,1,JMP,SHC,81,12,225.0
5522,1,SHC,JMP,81,12,170.0
5613,1,JLWC,KOTA,85,11,125.0
5614,1,KOTA,JLWC,85,9,135.0
5619,1,NLP,MZS,153,20,250.0
5620,1,MZS,NLP,153,20,245.0
5631,1,GHY,SCL,380,10,745.0
5632,1,SCL,GHY,379,10,745.0
5715,1,NJP,KNE,87,2,130.0
5716,1,KNE,NJP,87,2,150.0
5719,1,KIR,SGUJ,204,11,240.0
5720,1,SGUJ,KIR,205,11,300.0
5863,1,RNY,RPAN,89,15,185.0
5864,1,RPAN,RNY,88,15,165.0
5865,1,RNY,MZS,426,53,725.0
5866,1,MZS,RNY,425,53,705.0
6001,1,MS,TEN,649,14,760.0
6002,1,TEN,MS,649,15,750.0
6006,1,ERS,MAS,699,14,905.0
6009,1,SRC,PDY,1844,27,1805.0
6010,1,PDY,SRC,1843,27,1995.0
6041,1,MAS,QLN,849,19,1000.0
6042,1,QLN,MAS,851,20,975.0
6043,1,MAS,QLN,849,18,960.0
6044,1,QLN,MAS,852,19,965.0
6046,1,QLN,MAS,852,19,1080.0
6047,1,MAS,QLN,849,19,970.0
6048,1,QLN,MAS,852,20,1020.0
6049,1,MS,QLN,855,19,905.0
6050,1,QLN,MS,857,20,990.0
6053,1,KCVL,MAJN,626,14,635.0
6054,1,MAJN,KCVL,627,14,800.0
6057,1,SRC,MAS,1656,19,1780.0
6058,1,MAS,SRC,1655,19,1665.0
6065,1,CGL,MDU,500,13,805.0
6066,1,MDU,CGL,501,13,635.0
6067,1,CGL,CBE,522,9,595.0
6068,1,CBE,CGL,522,9,715.0
6081,1,CBE,POY,45,4,70.0
6082,1,POY,CBE,45,4,70.0
6412,1,DSJ,PAY,2462,21,3190.0
6512,1,MKM,BAND,77,14,140.0
6513,1,BWT,MKM,17,6,35.0
6541,1,YPR,PVR,881,14,1055.0
6542,1,PVR,YPR,878,14,1005.0
6547,1,YPR,ERS,632,14,705.0
6548,1,ERS,YPR,634,13,825.0
6579,1,YPR,VSKP,1089,21,1200.0
6580,1,VSKP,YPR,1086,21,1160.0
6581,1,YPR,BGM,607,85,796.0
6582,1,BGM,YPR,604,85,796.0
6591,1,YPR,HSRA,62,9,90.0
6592,1,HSRA,YPR,61,9,95.0
6593,1,WFD,BYPL,10,4,25.0
6594,1,BYPL,WFD,10,4,25.0
6595,1,YPR,DHL,33,7,50.0
6596,1,DHL,YPR,33,7,70.0
6647,1,KRBA,BSP,89,8,130.0
6648,1,BSP,KRBA,89,8,150.0
6769,1,PGTN,PLNI,116,11,160.0
6770,1,PLNI,PGTN,116,11,185.0
6851,1,KIK,NCR,10,3,20.0
6852,1,NCR,KIK,10,3,25.0
6853,1,KIK,NCR,10,3,23.0
6854,1,NCR,KIK,10,3,25.0
6919,1,UBL,BJP,247,36,416.0
6920,1,BJP,UBL,248,36,411.0
7005,1,HYB,RXL,2276,34,2640.0
7006,1,RXL,HYB,2297,34,2745.0
7007,1,SC,DBG,2023,27,2385.0
7008,1,DBG,SC,2033,28,2470.0
7016,1,KCG,VSKP,670,18,785.0
7044,1,TPTY,VSKP,735,11,905.0
7061,1,COA,BZA,217,8,270.0
7062,1,VLNK,TPTY,437,14,750.0
7075,1,SC,CCT,554,17,610.0
7076,1,CCT,SC,553,17,710.0
7109,1,HYB,QLN,1589,40,1875.0
7110,1,QLN,HYB,1593,40,1935.0
7113,1,KRMR,QLN,1543,37,1870.0
7133,1,HYB,QLN,1508,39,1900.0
7134,1,QLN,HYB,1511,39,1935.0
7141,1,HYB,QLN,1560,39,1855.0
7142,1,QLN,HYB,1563,39,1815.0
7146,1,TPTY,KCG,763,16,810.0
7149,1,SC,GHY,2563,37,2955.0
7211,1,CCT,QLN,1433,36,1840.0
7212,1,QLN,CCT,1436,36,1680.0
7213,1,BZA,QLN,1221,29,1590.0
7214,1,QLN,BZA,1226,30,1445.0
7217,1,NS,QLN,1360,37,1840.0
7218,1,QLN,NS,1363,37,1695.0
7410,1,TPTY,AWB,1147,29,1455.0
7417,1,TPTY,NSL,1330,33,1705.0
7418,1,NSL,TPTY,1331,33,1800.0
7425,1,KCG,COA,537,15,675.0
7426,1,COA,KCG,537,15,680.0
7429,1,SC,TPTY,742,11,750.0
7430,1,TPTY,SC,744,11,825.0
7431,1,CCT,TPTY,597,13,660.0
7432,1,TPTY,CCT,597,14,660.0
7435,1,CCT,SC,555,14,720.0
7436,1,SC,CCT,554,15,725.0
7438,1,KCG,TATA,1533,28,1845.0
7439,1,TATA,KCG,1533,28,1810.0
7487,1,TPTY,VSKP,735,11,735.0
7505,1,AWB,QLN,1973,49,2445.0
7509,1,ADB,QLN,1886,47,2300.0
7517,1,BIDR,PVR,350,9,555.0
7525,1,SGUJ,NBQ,322,33,555.0
7526,1,NBQ,SGUJ,322,33,600.0
7603,1,KCG,KJM,624,14,720.0
7604,1,KJM,KCG,624,14,930.0
7607,1,NED,TPTY,1014,19,1155.0
7608,1,TPTY,NED,1016,19,1185.0
7613,1,NZB,QLN,1636,38,2100.0
7614,1,QLN,NZB,1641,39,2100.0
7644,1,CCT,TPTY,597,11,695.0
7645,1,RU,CCT,587,10,555.0
7757,1,SC,BZA,314,6,315.0
7758,1,BZA,SC,314,6,320.0
7941,1,CCT,RU,587,12,660.0
7942,1,TPTY,CCT,597,13,630.0
8001,1,KGP,JGM,39,2,35.0
8002,1,JGM,KGP,39,2,45.0
8014,1,MDN,KGP,12,4,40.0
8017,1,KGP,JGM,39,6,50.0
8018,1,JGM,KGP,39,6,55.0
8035,1,KGP,BLS,120,19,175.0
8036,1,BLS,KGP,120,19,180.0
8051,1,KGP,JGM,39,3,29.0
8052,1,JGM,KGP,39,5,45.0
8061,1,SHM,JP,1847,24,2055.0
8062,1,JP,SHM,1838,24,2075.0
8063,1,KGP,BQA,115,17,180.0
8064,1,YPR,HWH,2039,16,1930.0
8065,1,KGP,BQA,115,17,160.0
8082,1,BQA,VSU,30,6,30.0
8087,1,VSU,BQA,30,6,28.0
8101,1,CBSA,CKP,40,5,80.0
8102,1,CKP,CBSA,40,5,55.0
8301,1,SBP,BAND,1567,15,1870.0
8302,1,BAND,SBP,1567,15,1805.0
8403,1,PURI,SRC,495,9,560.0
8404,1,SRC,PURI,497,9,530.0
8501,1,VSKP,SC,700,13,780.0
8502,1,SC,VSKP,698,13,740.0
8511,1,KRDL,VSKP,471,12,720.0
8512,1,VSKP,KRDL,471,12,705.0
8567,1,VSKP,QLN,1571,29,1725.0
8568,1,QLN,VSKP,1578,29,1845.0
8573,1,VSKP,TPTY,760,15,870.0
8574,1,TPTY,VSKP,759,15,920.0
8581,1,BPQ,CAF,11,2,20.0
8582,1,CAF,BPQ,11,2,15.0
8617,1,RNC,ANVT,1365,15,1430.0
8618,1,ANVT,RNC,1356,15,1420.0
8627,1,HWH,RNC,484,13,560.0
8628,1,RNC,HWH,481,14,570.0
8872,1,DURG,G,133,17,165.0
9003,1,BDTS,NZM,1355,5,835.0
9004,1,NZM,BDTS,1358,5,835.0
9005,1,BCT,NDLS,1373,4,955.0
9006,1,NDLS,BCT,1376,4,965.0
